Subject,Condition,Optode,MeanAcrossBlocksHbO,MedianAcrossBlocksHbO,AUCHbO,MaximumHbO,RobustPeakHbO95
6,2,12,-0.0948495520773638,-0.085532445131815,-5.58975026022333,0.0748687433065137,0.0370726796075988
6,2,13,-0.0290542827325838,0.00516433012583936,-1.71350472323602,0.0854978037897025,0.0787966848313424
6,2,14,-0.0459488566748799,-0.0459196826636405,-2.70820441623633,0.0578020425489442,0.0467900543432714
6,2,15,-0.0306610856932627,-0.0112035183540795,-1.80779386801897,0.100265377202107,0.0899954667597429
6,2,16,-0.0262768211751942,-0.0282780971114379,-1.54721044658943,0.0981500531967766,0.0857650558388432
6,3,1,-0.0364196504066537,-0.104695620104568,-2.15112671283615,0.241911366654166,0.216677475094145
6,3,2,-0.00644719892942063,-0.018781652482263,-0.381132791865274,0.191887540028497,0.176483361833475
6,3,3,-0.0532270594198387,-0.0500553384239488,-3.14234155338449,0.175481743118232,0.155887254002756
6,3,4,0.00771036838552799,-0.00334756757380086,0.453464835015947,0.175874188556002,0.158482237560234
6,3,5,-0.0250617789852028,-0.0706645401278636,-1.48238776006095,0.164602547518436,0.148520347289059
6,3,6,0.00510804167353863,-0.0223677596891757,0.296473462295771,0.204640219553238,0.187335970150982
6,3,7,0.000138642299237823,-0.067010535856515,0.00387615573353746,0.166034770633112,0.152634578998061
6,3,8,-0.0157706065430219,-0.0696664099863337,-0.934964015046331,0.138734715030161,0.130686008984586
6,3,9,-0.0806593228100549,-0.0982539383467813,-4.76439348838127,0.153966546819719,0.12980077457521
6,3,10,-0.0714761610132411,-0.102623913670533,-4.22255106351809,0.115360426461479,0.0997051127245753
6,3,11,-0.0655407462288213,-0.100326428740288,-3.87236124741119,0.0933401465039975,0.0811012685584003
6,3,12,-0.0652046066381317,-0.113558418240285,-3.855125447066,0.129973831297955,0.115591498421766
6,3,13,-0.0604525404257369,-0.0574207537388215,-3.57079050518782,0.0743143712252241,0.0648821865312692
6,3,14,-0.0455661969690622,-0.0686146274055779,-2.6944845626689,0.0871718892310928,0.0748642493467979
6,3,15,-0.0439031952306034,-0.0504038672206166,-2.59681769164369,0.101923599188696,0.093779062364718
6,3,16,-0.0278068653110049,-0.0237831979468102,-1.64599305804028,0.0927285941471191,0.0819800094358109
8,1,1,-0.00316380902070158,-0.00331262050898399,-0.196870710585155,0.175818843548415,0.151938988434916
8,1,2,-0.0207670532414984,-0.034617661294356,-1.23493411164962,0.17654106567703,0.15733573901237
8,1,3,-0.00897551016629175,-0.0104874593245659,-0.538472409721026,0.149189829493165,0.130796029676038
